art_no,var_tu_key,store_id,date_of_day,sell_qty_colli
ART1,1000,42,2023-09-01,35
ART2,1001,27,2023-09-01,40
ART3,2002,43,2023-09-02,5
ART4,2003,30,2023-09-03,4
ART5,1004,40,2023-09-04,41
ART6,1005,24,2023-09-05,6
ART7,1006,15,2023-09-06,22
ART8,2007,39,2023-09-07,20
ART9,1008,17,2023-09-08,28
ART10,2009,45,2023-09-09,41
ART11,20010,44,2023-09-10,40
ART12,20011,12,2023-09-11,4
ART13,10012,43,2023-09-12,43
ART14,20013,28,2023-09-13,43
ART15,10014,42,2023-09-14,29
ART16,20015,27,2023-09-15,13
ART17,10016,42,2023-09-16,49
ART18,10017,31,2023-09-17,49
ART19,20018,49,2023-09-18,48
ART20,20019,11,2023-09-19,19
ART21,20020,46,2023-09-20,1
ART22,10021,49,2023-09-21,47
ART23,20022,32,2023-09-22,2
ART24,20023,21,2023-09-23,10
ART25,10024,12,2023-09-24,23
ART26,10025,23,2023-09-25,48
ART27,20026,17,2023-09-26,36
ART28,10027,22,2023-09-27,10
ART29,20028,22,2023-09-28,4
ART30,20029,40,2023-09-29,39
