art_no,var_tu_key,store_id,date_of_day,sell_qty_colli
ART1,1000,31,2023-09-01,34
ART2,2001,10,2023-09-01,5
ART3,2002,22,2023-09-02,23
ART4,1003,14,2023-09-03,22
ART5,2004,35,2023-09-04,48
ART6,2005,23,2023-09-05,26
ART7,2006,15,2023-09-06,22
ART8,1007,17,2023-09-07,43
ART9,2008,14,2023-09-08,30
ART10,2009,14,2023-09-09,7
ART11,10010,33,2023-09-10,50
ART12,20011,38,2023-09-11,20
ART13,10012,40,2023-09-12,50
ART14,20013,46,2023-09-13,50
ART15,10014,20,2023-09-14,20
ART16,10015,35,2023-09-15,20
ART17,20016,39,2023-09-16,34
ART18,20017,45,2023-09-17,47
ART19,20018,37,2023-09-18,15
ART20,10019,42,2023-09-19,9
ART21,20020,28,2023-09-20,18
ART22,10021,16,2023-09-21,22
ART23,20022,41,2023-09-22,36
ART24,20023,26,2023-09-23,34
ART25,10024,35,2023-09-24,23
ART26,10025,22,2023-09-25,14
ART27,20026,21,2023-09-26,10
ART28,20027,15,2023-09-27,28
ART29,10028,16,2023-09-28,2
ART30,10029,42,2023-09-29,25
