art_no,var_tu_key,store_id,date_of_day,sell_qty_colli
ART1,1000,31,2023-09-01,2
ART2,2001,43,2023-09-01,29
ART3,2002,29,2023-09-02,17
ART4,1003,21,2023-09-03,14
ART5,2004,45,2023-09-04,42
ART6,2005,16,2023-09-05,35
ART7,2006,12,2023-09-06,30
ART8,1007,41,2023-09-07,3
ART9,1008,13,2023-09-08,49
ART10,1009,19,2023-09-09,18
ART11,10010,20,2023-09-10,48
ART12,10011,23,2023-09-11,27
ART13,10012,12,2023-09-12,18
ART14,20013,24,2023-09-13,8
ART15,20014,33,2023-09-14,9
ART16,20015,43,2023-09-15,44
ART17,20016,30,2023-09-16,34
ART18,10017,17,2023-09-17,20
ART19,20018,34,2023-09-18,32
ART20,20019,48,2023-09-19,44
ART21,10020,35,2023-09-20,48
ART22,20021,27,2023-09-21,33
ART23,20022,37,2023-09-22,43
ART24,20023,17,2023-09-23,40
ART25,20024,47,2023-09-24,15
ART26,10025,12,2023-09-25,39
ART27,10026,23,2023-09-26,20
ART28,20027,33,2023-09-27,30
ART29,10028,28,2023-09-28,16
ART30,20029,25,2023-09-29,3
